Country,Location,Industry_Sector,Gender,Employee_Type,Critical_Risk,Description,Month,Weekday,Potential_Accident_Level
Country_02,Local_05,Metals,Male,Third Party (Remote),Suspended Loads,The accident occurred at the time an employee of the partner company SF carried out unloading operation of bladder bags By cutting the bag for charging of the boom into the silo trucks delivery mouth the inner plastic bag surrounding the contents abruptly dropped and a large amount of material fell onto the cone funnel The cone fell over and the injured man stood with his leg pressed between him and the body guard of the scaffold There was external medical attention and it was verified that there was no fracture,July,Monday,4
Country_02,Local_07,Mining,Male,Employee,Others,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employees finger against the probe,February,Tuesday,3
Country_01,Local_01,Mining,Male,Employee,Others,Once the mooring of the faneles in the detonating cord has been completed the injured person proceeds to tie the detonating cord in the safety guide slow wick at a distance of  meters from the top of the work At that moment to finish mooring a rock bank cm x cm x cm  Kg the same front from a height of  meters which falls to the floor very close to the injured disintegrates in several fragments one of which cmxcmxcm  Kg slides between the fragments of rock and impacts with the left leg of the victim At the time of the accident the operator used his safety boots and was accompanied by a supervisor,June,Monday,4
Country_01,Local_06,Metals,Male,Employee,Fall prevention (same level),At approximately evening on  the operator Eustaquio falls down from the metal platform that gives access to tank D of the strong acid leaching stage and suffers luxofractures in the wrist left when leaning on the floor with his hand The operator was directed to the first tank of the strong acid leaching stage Tk D to verify the entry of spent to the taque,June,Wednesday,4
Country_03,Local_10,Others,Male,Third Party,Others,Project of Vazante that carried out sediment collection of current in the South of Mata target in the drainage of Serra do Garrote team that was composed of  members of the WCA company being the Srs Leandro and Jehovnio they were moving from one collection point to another inside a shallow drainage they saw the bee carton the reaction was to move away from the box as quickly as possible to avoid the stings they ran about  meters looking for a safe area to exit the radius of attack of the bees but the SS and Breno were attacked and consequently they suffered  stings in the belly and Jehovah in the hand verified that there was no type of allergic reaction returned with the normal activities,June,Wednesday,1
Country_02,Local_05,Metals,Male,Employee,Others,Employee reports that when trying to unlock a cathodic sheet with the digger the same did not realize that the blade was pressed so that the cable projected and hit his face,June,Sunday,4
Country_03,Local_10,Others,Male,Third Party,Others,During execution of drilling on the target  Bolt BRJCLDD made by the company SERVITECFORACO  probe  at morning on July   the official Josimar da Silva in the moment of the maneuver to fish material when removing the feeder of water during movement of the winch realized that the safety chain was loose and could curl in the rod In performing the chain removal movement he placed his left hand between the hose and the cap of the hydraulic plate With the unlocking of the inner tube there was an abrupt movement of the chain pushing his hand towards the hydraulic plate causing an injury to the ring finger of this hand The lesion caused a cut in the th Quirodactyl with a need for suture of  points to close the cut,July,Saturday,4
Country_02,Local_05,Metals,Male,Third Party (Remote),Pressurized Systems,During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck In performing this procedure there was a maneuver of unhooking the hose without the total depressurisation of the mouth projecting ustulado powder in the collaborator caused irritation in the eyes,January,Tuesday,3
Country_01,Local_06,Metals,Male,Employee,Others,Approximately at early morning Mr Wilmer approaches the C drying tower for the placement of a blanket to cover the entrance manhole of the tower at that moment the manhole cover resting on the railing slides impacting on his right leg,November,Friday,4
Country_02,Local_05,Metals,Male,Third Party (Remote),Fall,Employee was transiting the GRS area when he came to slip suffering a twist in his left knee,January,Tuesday,3
Country_02,Local_08,Metals,Male,Employee,Liquid Metal,Upon approaching the furnace that was in the process of melting the Zn ingot it was struck by liquid metal projection,January,Tuesday,4
Country_01,Local_06,Metals,Male,Third Party (Remote),Chemical substances,During the discharge of waste the operator proceeds to remove a bag that was under the hose rolled in this circumstance one of the ends of the hose moves in the direction of the face of the driver projecting the liquid contained in it and impacting it on the ear and part of the face,March,Monday,3
Country_01,Local_03,Mining,Male,Employee,Others,After having carried out the mechanized support with the Scissor   the heavy equipment operator picks up the water supply hose towards the drum of the equipment and while He was heading towards the cabin of the Scissor on the way on a piece of rock   cm high approx  which displaces by sliding his right foot causing the injury described,March,Wednesday,3
Country_01,Local_04,Mining,Male,Third Party,Others,In circumstances that the worker prepared food in the electric pot by not ensuring the lid falls on his head causing the injury described,June,Sunday,2
Country_01,Local_04,Mining,Male,Third Party,Others,Being afternoon approximately in the Nv  CX Mr Kevin helper of Jumbo  removed the drill rod that was in the drilling hole instants that breaks the chain of subjection of the table of the drilling machine sliding down achieving rubbing the index finger of the left hand causing the injury,May,Tuesday,4
Country_01,Local_01,Mining,Male,Third Party,Others,In circumstances that the collaborator performed the cleaning of the ditch   cm deep removing the pipe of  HDPE material with an estimated weight of  Kg Together with two collaborators when pushing the tube to drain the dune the collaborator is hit on the lower right side lip producing a slight blow to the lip At the time of the event the collaborator had a safety helmet glasses and gloves,June,Friday,2
Country_01,Local_06,Metals,Male,Third Party,Projection,Approx night Mr Victor at the time he made a visual inspection of scaffolding suffered a slight blow to the level of the right ear with the metallic extension of the chute of the conveyor chain,April,Sunday,2
Country_01,Local_01,Mining,Male,Third Party,Others,In circumstances that the driver of the plate truck WK of the EE IMPROMEC went from the garit plant chicrin to Nv after entering an internal mine in the area of Santa where  m approx from the old dining room stops the vehicle and informs the copilot that he can no longer drive for which he turns off the vehicle and when trying to get off the van loses his balance and falls on his own seat complaining intense pain in the lumbar area citing pain due to overexertion due to routine activity evacuation of residual oil and solid waste cylinders that they previously performed The collaborator at the time of the event used their corresponding EPPS,June,Sunday,4
Country_01,Local_03,Mining,Male,Third Party,Individual protection equipment,In the Nv   Chamber of accumulation of aggregates When the worker made the cast of shotcrete towards the crown of the work at afternoon he perceives discomfort and fogging of the full face then decides to take it off and chooses to use only his safety glasses for comfort to continue with the thrown shotcrete at afternoon suffers the projection of shotcrete rebound particles in the left eye,March,Friday,4
Country_01,Local_03,Mining,Male,Third Party,Others,At a time when two assistants were carrying a bag of cement weighing  kg to the lamp of the loader  suspended about  cm from the floor the left foot of one of the assistants slid and hit the edge of the baton,March,Thursday,3
Country_02,Local_08,Metals,Male,Employee,Pressed,During the withdrawal of cathode sample the employee came to press the finger with the tool that cuts the sample,October,Monday,2
Country_02,Local_07,Mining,Male,Third Party (Remote),Others,At the end of the concreting activity the employee turned off the concrete and when rolling the handle to make the return of the equipment warehouse the same bumped the tip of the mangote in the inferior lip causing hematoma,April,Tuesday,2
Country_01,Local_03,Mining,Male,Employee,Others,At a time when the heavy equipment operator got on the equipment to check the right front headlight defective of the scooptram   position on the rim position   his left leg which slides causing the heavy equipment operator to fall from a height of  cm,October,Thursday,4
Country_01,Local_04,Mining,Male,Third Party,Others,The operator of the paste filling plant  removes a floor grating  x  cm to clean the lower floor It is removed to close the water valve and does not block the vacuum the two technicians who were entering the filter belt notice an overflow and ask the operator to reduce the load The mechanics kept walking without noticing the floor and one of them falls into the void impacting his foot left at an angle that was about  cm below the floor grating producing the injury,July,Sunday,4
Country_01,Local_04,Mining,Male,Third Party,remains of choco,Being morning The driver of the AEQ plate dump truck  Ton was heading to the loading area Nv OB Tj  Bp parking and proceeding with the ore loading with the scoop  ydrs  at that moment lift the first scoop towards the hopper and a large bank falls causing the tipper to shake violently and the operator to be hit with the gear lever communicate with the supervisor and evacuated to the medical center ,June,Sunday,4
Country_01,Local_01,Mining,Male,Third Party,Projection,In the volvo workshop at the time of cutting steel plate thickness  in for the installation of the MT scoop lip with Oxicorte equipment the injured feels a discomfort in both eyes At the time of the accident the collaborator made use of his full Epp but the soldering iron lens did not make full adjustment for the presence of the respirator,January,Thursday,4
Country_01,Local_03,Mining,Male,Third Party,Others,In the welding workshop of level  Ex  tunnel quinoa in moments that the assistant raised a wooden strut  m long x  diameter   Kg of weight to place it on the work table at  m of height treads another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on the left shoulder,May,Wednesday,3
Country_01,Local_04,Mining,Male,Employee,Others,Being at morning approximately the mechanic was removing the last bolt of the  nipple in the pump  lime feeder reactive area the mechanic is positioned slightly flexing the legs and performs upward force with both hands in that moment feels a pain and a spume in the right thigh The mechanic is evacuated with the help of his colleagues to the medical post,September,Friday,1
Country_01,Local_06,Metals,Male,Employee,Manual Tools,The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode At the moment when the blade was detached the blade was released from the cathode bending and grazing the collaborators right hand producing  small cuts at the knuckles of the fingers the worker made use of his gloves leather The worker is transferred to the medical unit for first aid,February,Monday,2
Country_01,Local_04,Mining,Male,Third Party,Others,Being afternoon approximately in the Nv  in the Tecnomin winery Mr Chagua  Bodeguero was alone cutting wires No  with a grinder previously he had removed the protection guard from the disk of  inches in diameter and adapted a disk of a crosscutter of approximately  inches Originating traumatic amputation of two fingers of the left hand,June,Saturday,5
Country_02,Local_08,Metals,Female,Employee,Chemical substances,During the preparation for the solubilization activity of the sample in the chapel the maid when moving the vial of nitric acid the same detached from the doser causing projection in the region of the face and upper limbs,March,Wednesday,4
Country_02,Local_05,Metals,Male,Employee,Others,The employee reports that he performed his routine activities in the Foundry area when it was necessary to fit the last ZAMAC ingots of one of the packages At this point the ingot slipped and hit the back of his right foot causing pain The safety footwear worn by the employee has a steel toe and a metatarsal protector,April,Friday,2
Country_01,Local_03,Mining,Male,Third Party,Others,In phase III of the concentrator plant the maintenance personnel carried out the removal of transmission belt from the flotation cell of Pb cleaning at the moment the mechanic removed the belt he leans on his left leg which slides towards the grating floor leaving his foot between the two pipes generating the lesion described The work was carried out at the floor level and at the time of the accident the staff had put on their safety equipment,June,Tuesday,3
Country_02,Local_02,Mining,Male,Employee,Others,When performing cleaning activity of the area near the TC  Grinding the employee was handling a block of triangular shaped rock measuring b  cm x h  cm x e  cm During the movement he lost his balance by falling with the rock on the thumb of his left hand injuring him,February,Monday,4
Country_01,Local_01,Mining,Male,Third Party,Others,In moments that the truck of transport of personnel of the company MCEISA plate AJG moved from the Nv  to surface missing m to reach the mouth of the Nv  the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who At that time I was traveling in the truck They raise the cabin to manually put the change in first and continue the trip culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight falls hitting the driver between the cabin and the hopper of the truck At the time of the accident the employee was wearing his safety helmet and chin strap,May,Wednesday,4
Country_03,Local_10,Others,Male,Third Party,Fall,During field trip to return to work after lunch the employee of the Wellfield company slipped on the loose stones that were in the place At that moment with the intention of balancing he tried hold onto a tree falling under the right arm causing fracture at the distal end of the radius The activity was paralyzed and the employee was referred to the Hospital in Paracatu where he underwent medical care,May,Tuesday,4
Country_02,Local_05,Metals,Female,Third Party (Remote),Cut,The maid was handling a pipette for sample preparation for chemical analysis while trying to place it on the threeway pear the pipette came to break causing a superficial cut in her right hand,May,Tuesday,3
Country_01,Local_03,Mining,Male,Employee,Others,At times when the collaborator was performing the evacuation of inchancables from the mine present in Strip   of Phase he notices a piece of support mesh positioned between the frame and the return belt After several attempts to remove this mesh with the belt in movement and using a metal rake as support the mesh yields moving in the direction of rotation of the return belt hitting the collaborators hand against the metal structure causing contusion in the left hand At the time of the accident the employee used his leather gloves,August,Thursday,4
Country_03,Local_10,Others,Male,Third Party,Bees,The Safety and Technical moved to the field for inspection activity on the way to the field paused together with the other two teams in order to know the drainage points to be checked the Safety at getting out of the vehicle was struck by a sting of a weed in his neck quickly returned to the vehicle and made radio communication with the other two teams which distanced themselves from the place The clerk was wearing leggings and glasses There was no allergic reaction,June,Thursday,1
Country_03,Local_10,Others,Male,Employee,Others,In the probe  bore BAPDD around afternoon hours the polling assistant Luciano da Silva performing the maneuver of descending rods led the rod to the gutter but this when not leaning suitably came to escape the gutter returning toward the easel His hand had slipped and his little finger was between the rod and the easel Realizing that the shaft had returned he released it immediately but his little finger was partially hit by the rim of the rod against the easel resulting in a cut The auxiliary was taken to hospital and attended to the wound resulted in  points and the was released for administrative activities,October,Tuesday,3
Country_02,Local_05,Metals,Male,Third Party (Remote),Pressed,When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system it reports that the piece involuntarily moved when it was positioned in the holder pressing its finger against the holder causing a wound  right chemo,February,Thursday,3
Country_01,Local_03,Mining,Male,Employee,Others,During the mechanized support activity in the level   Tajo when lifting the support mesh on the platform of the Scissor equipment the employee with a stumble feels a pain in the heel of the left foot,January,Thursday,3
Country_01,Local_03,Mining,Male,Third Party,Projection,At Level  in the guide wire chamber during the preparation activity of mix for the shocrete the worker performs the emptying of a bag of cement towards a bucket to complete the dosage at that moment the dust generated by the cement enters by the lower part of the lenses to the left eye causing irritation,June,Friday,4
Country_01,Local_03,Mining,Male,Third Party,Others,The operator of the Scissor  leaves his equipment parked at level  Acc  due to electrical problems when the maintenance personnel arrives the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem then in coordination with the mechanic decide to perform the test with the diesel system moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hands atricion against the support of the pivot tube generating the lesion described At the time of the accident the electrician was alone on the control platform while the mechanic was at ground level observing the pressure on the diesel system pressure gauge,June,Sunday,4
Country_03,Local_10,Others,Male,Employee,Others,The technician was doing the magnetometric survey when he stepped on a thorn His reaction was to immediately retreat losing his balance and so the magnetometers antenna broke,March,Saturday,1
Country_01,Local_03,Mining,Male,Third Party,Others,in Level  dining room the collaborator finished washing tabolas food containers of dimensions  cm x  cm x  cm proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola generating the lesion The employee at the time of the accident did not have safety gloves,November,Monday,1
Country_01,Local_04,Mining,Male,Third Party,Others,Being morning Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX   CX Nv  in moments that Marco lifts the air pipe over the spike this seat and the pipe impacts on the workers safety guard,September,Thursday,2
Country_01,Local_01,Mining,Male,Third Party,Vehicles and Mobile Equipment,In circumstances that the tipper MV of the EE Mceisa moved of the Nv  to Nv  the operator sees a congestion of equipment in front of his unit in the Ramp   at a distance of  meters of access to the Nv  which is why he decides to get off the cab by turning off his vehicle when suddenly he slides off the second rung that is  m from the ground hitting the right forearm region against the fender and the same rung,January,Sunday,3
Country_02,Local_08,Metals,Male,Employee,Manual Tools,When handling a lever to move the sludge the employee moved it by making a pendulum movement and striking his chin,June,Thursday,2
Country_02,Local_07,Mining,Male,Employee,Fall prevention,The employee was descending the ladder after inspection of the milling cyclones which gives access to the floor behind the mill  by platform  ISCMG when the floor gave way and it fell from a height of approximately  meter and  meters there is material  ore below the platform decreasing the height of the fall impact,February,Sunday,4
Country_02,Local_05,Metals,Female,Employee,Chemical substances,when handling a sample in the laboratory the sleeve of the employees coat had contact with nitric acid absorbing a small amount that came to reach the left forearm causing a st degree burn,July,Friday,2
Country_01,Local_01,Mining,Male,Employee,Pressed,Performing the cleaning of material Mineral that accumulates between the steel plate and the concrete base on which it rests As shown in the photograph steel plate thickness   in in order to complete this cleaning the workers decide to weld on the steel plate a support eyelet type and at the other end as a fixed point and fastening a pin helical support in such a way to lift the plate with the help of a key and remove all the accumulated material In the instant that they were pulling the chain of the tecla the injured one had his left hand resting on the concrete wall the line of fire product of the tension exerted by the tecle the helical bolt breaks and the chain lashes on the index finger generating the injury At the time of the accident the accident victim used all his epps including his gloves,April,Tuesday,4
Country_02,Local_08,Metals,Female,Third Party,Others,The maid while walking in the electrolysis area stumbled and fell next to the bathroom in room B,December,Friday,2
Country_01,Local_01,Mining,Male,Employee,Others,During the placement of the last support mesh cloth of the work in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket when pressing on the mesh one of the protruding ends of the mesh crosses the leather glove causing an injury in his right hand,March,Saturday,3
Country_02,Local_08,Metals,Male,Third Party (Remote),Pressed,The employee performing the trucks unloading operation an iron bundle pressed his right finger and injured his left arm,March,Thursday,3
Country_02,Local_02,Mining,Male,Employee,Others,When performing cleaning with LHD in block F  at level  the operator was surprised by a rock block displacement of the side of the gallery reaching his right leg causing him superficial injury,April,Thursday,5
Country_01,Local_06,Metals,Male,Employee,Plates,Being the night hrs After the cathode goes through the pre estriping the sheets are detached and bend to the cathode of its position the operator with the assistant lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palm of the left hand of the operator with the head and the transfe activity is paralyzed and the collaborator is referred to the medical post by the head of the guard,November,Sunday,2
Country_02,Local_07,Mining,Male,Employee,Cut,ACTIVITY maintenance on scaller   breaker arm extension cylinder LOCAL underground mine level  During the removal of the cylinder from the scaller arm when releasing the fixing pin the cylinder came down and bumped into the tool used to press his hand between the tool and the structure of the equipment,May,Wednesday,1
Country_01,Local_06,Metals,Male,Employee,Projection,At night h on  the mechanic on duty of section  Antonio is observed in the activity of withdrawal check out of POM D at this moment he is impacted by a pulp of the line of discharge stuck causing irritation in the right part of the neck and ear The mechanic is referred to the medical center for evaluation,May,Friday,2
Country_01,Local_03,Mining,Male,Third Party,Projection,During the activity of settling of concrete blocks for the ventilation plug wall in the CX of level  in circumstances that the worker made the setting of the union between concrete blocks a polyethylene pipe of  diameter was picks up the spike and when it hits it hits the top of the workers protector,January,Saturday,4
Country_01,Local_04,Mining,Male,Third Party,remains of choco,Being early morning on the th block of Nv  Ob  at the moment that Messrs and Roger injured cleaned the th drill of the radial mesh that was in an inclined shape in the right gable moment that detaches fragments of rock of xx cm impacting the shoulder,January,Monday,4
Country_01,Local_04,Mining,Male,Employee,Others,During the maintenance work of the vertical pump   of zinc concentrate the three mechanics were performing lifting maneuvers to be able to position the pump to the drawer instants in which the pump becomes clogged by the reduced space of the work area and in order to release the pump they place a young lady in the lower part at which time she is released and turns untimely hitting the middle finger of the injured persons right hand against a  trellex hose,September,Saturday,4
Country_03,Local_10,Others,Male,Third Party,Bees,Auxiliary and Geologist traveled to the field to evaluate geological points following the GPS near some drainage Following the state highway that gives access to Aripuan area stopped and got out of the vehicle to see the point identified in the GPS Ademir distancing himself about five meters from the vehicle accompanied by the geologist Mario was surprised by two bites of blows on his neck Quickly he hurried back to the vehicle moving away from the place The clerk was wearing a girdle and goggles he still was not wearing gloves as he would not enter the forest area There was no allergic reaction,June,Thursday,1
Country_01,Local_01,Mining,Male,Employee,Others,Once the topographic survey in the Stp  East zone the victim and his coworker decide to continue with their work in the Stp  West for this the injured person walks behind his coworker  to  meters when arriving at the loading zone intersection Rpa  and St  the injured person asks the sccop operator to stop to pass once the equipment is stopped the victim passes behind his partner stuck to the gable trying to avoid the accumulation of water when he takes the third step into the puddle the injured person steps on the false and falls to the floor causing the injury ,August,Wednesday,2
Country_03,Local_10,Others,Male,Third Party,Bees,The mincing team was carrying out activities in the city of Juna and was coordinated by mining technician Felipe a time when the mining technician was last in line and more away from the team was bitten by a blackjack on the left side of his face There was no allergic manifestation and the team continued the work In the afternoon after lunch the employee sought medical care was medicated and released to continue activities the next day,August,Tuesday,1
Country_02,Local_08,Metals,Male,Employee,Others,During the exchange of the shockbearing housing the employee used a sledgehammer to hit the pipe At this stage of the activity the hammer hit the stepladder that was very close coming to hand tool to be projected onto the left hand thumb which was holding the piece,November,Tuesday,3
Country_02,Local_05,Metals,Male,Employee,Cut,The Employee performed the activity of stripping cathodes when pulling the cathode sheet his hand hit the side of another cathode causing a blunt cut on his nd finger of the left hand,July,Thursday,2
Country_01,Local_06,Metals,Male,Employee,Others,The operator when descending by ladder of sailor of  steps falls to the floor going down of the er step falling on his back and hitting his head The worker used the chin strap with the helmet a safety element that reduced the injury from the blow He was treated at the medical center with local treatment referred to the Clinic for reevaluation,November,Wednesday,4
Country_02,Local_05,Metals,Male,Third Party (Remote),Manual Tools,The employee reports that he was working with brushcutters near the Stone when the blade of the equipment collided with a piece of metal that was projected toward his leg causing injury to his left leg,June,Friday,3
Country_02,Local_08,Metals,Male,Employee,Pressed,In the activity of placing boards on racks for the exchange of fabrics of the filters one of the plates was inclined trying to put the plate in the correct position the plate arm pressed the back of the right hand against the structure of the easel,October,Saturday,4
Country_01,Local_04,Mining,Male,Third Party,Others,At evening hours in moments when Mr Claudio tipper operator readjusted the nuts of the rear tire on the right side of his vehicle using a wheel wrench and a tube as an extension to generate greater force of torque which was Mr Wilber held him in his back suffers a contusion in the palm of the right hand as the extension to his partner slips from his hands,December,Saturday,2
Country_02,Local_08,Metals,Male,Employee,Blocking and isolation of energies,During the maintenance on the LXPB pump there was the projection of silicate pulp reaching the right leg of the employee,May,Sunday,3
Country_02,Local_08,Metals,Male,Employee,Others,When igniting the furnace  of the battery I there was reflux of hot gas reaching the face of the employee,November,Tuesday,2
Country_01,Local_03,Mining,Male,Third Party,Vehicles and Mobile Equipment,When the Mixer  of the ECM INCIMMET SA moved by the positive south ramp with direction to surface Unicon concrete plant at the height of the  Before  the operator observes that untimely lights and the engine go off the control controls do not respond and the equipment starts to reverse At  meters the operator jumps out of the cabin and at  meters the team hits the right gable and turns to its side left In the area in the circumstances of the event there was no presence of personnel or equipment that could have been affected,March,Saturday,5
Country_03,Local_10,Others,Male,Third Party,Bees,Project of Vazante that carried out sediment collection of current in the South of Mata target in the drainage of Serra do Garrote team that was composed of  members of the WCA company being the Srs Leandro and Jehovnio they were moving from one collection point to another inside a shallow drainage they saw the bee carton the reaction was to move away from the box as quickly as possible to avoid the stings they ran about  meters looking for a safe area to exit the radius of attack of the bees but the SS and Breno were attacked and consequently they suffered  stings in the belly and Jehovah in the hand verified that there was no type of allergic reaction returned with the normal activities,June,Wednesday,1
Country_01,Local_03,Mining,Male,Third Party (Remote),Others,In the area of equipment inspection while the staff of the Atenuz EE trying to remove the hydraulic hammer safety locks of the excavator the mechanical lubricator holds with his right hand a hattype chisel while the equipment mechanic hit the chisel with a pound rubber bump to remove the safety at which point one of the blows falls on the edge of the hattype protector causing it to slip and strike the fourth finger of the lubricant mechanics right hand generating the described injury At the time of the accident the lubricator mechanic had put on the gloves type pad,October,Monday,4
Country_01,Local_04,Mining,Male,Third Party,Others,When performing the movement of the bar to make room and place a calibrator Mr Chuquillanqui pushes the bar with both hands turning it being at that moment imprisoned the middle finger of the left hand against the other bar that was ahead,December,Friday,4
Country_01,Local_03,Mining,Male,Third Party,Others,In circumstances that the worker was walking along the straight line of level  step on a rock of approximately  cm x  cm bending the right ankle which caused the injury described After the event occurred the worker decided not to report the accident because he did not feel pain at afternoon approximately he begins to feel discomfort when walking and progressive mild pain in the ankle in that moment he communicates the event,May,Tuesday,4
Country_01,Local_03,Mining,Male,Employee,Others,During the maintenance of the locomotive N   in the workshop of level  the assistant when pulling the locomotive chair backwards stumbles against the ventilation grille falling on the platform of the locomotive and then to the floor of the workshop from a height m generating the injury At the time of the accident the assistant used his safety helmet and chin strap,April,Friday,4
Country_01,Local_03,Mining,Male,Third Party (Remote),Power lock,During the activity of changing conveyor belt B feeding the primary mill No  the mechanic entered the discharge chute  x  x  m to clean the material at which time the automatic sampler  x  m that was inside the chute was activated trapping the mechanic at the height of the chest At the time of the accident the mechanic was alone in the work area,March,Saturday,5
Country_01,Local_06,Metals,Male,Third Party,Suspended Loads,The operator was feeding a bag of big bag containing scraps of Zn sheets During lifting this loaded bag is released from the hook of the hoist making abrupt contact with the liquid zinc of the furnace generating an explosion and causing the operator to be hit with liquid zinc,March,Wednesday,4
Country_01,Local_01,Mining,Male,Third Party,Others,In circumstances where the worker hit the support of the drill beam advance cylinder to align the base of the beam with the holes of the beam and place the bolt mechanical hammer slips and by inertia the mechanics hand hits the edge of the beam causing the injury At the time of the accident the employee had all the PPE for this activity,January,Monday,3
Country_03,Local_10,Others,Male,Employee,Others,The technician was returning from his activities on the bite when he stepped on a loose rock over a sloping region She released herself unbalancing the employee who stepped on false twisting her ankle,June,Thursday,4
Country_01,Local_06,Metals,Male,Third Party,Others,An operator of the G deslaminadora in section  was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table for this requires the support of Mr Mollares and this helps to hold the sheet to place it in the entry chute to the slide At the moment of releasing the blade it tilted and brushed Mr Mollaress left leg The collaborator went to the nearby eyewash for cleaning and immediately to the medical center,February,Sunday,2
Country_02,Local_08,Metals,Male,Employee,Projection,The employee Mr Nilton made the opening of the visit to unclog at this moment occurred projection of hot material occurring the accident,August,Sunday,3
Country_01,Local_01,Mining,Male,Employee,Others,During the preuse inspection of the Jumbo  check list equipment the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water without any label or labeling Take the bottle and take a small sip of the liquid expelling it immediately when noticing that it was not water immediately proceeds to wash with enough water and is transferred to the medical center for your attention The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity,February,Wednesday,4
Country_02,Local_02,Mining,Male,Third Party (Remote),Others,Employee assisted in the support of the gate while the other the tying of the canvas in the frame and by pressing the rope so that the canvas stretched the metal structure moved coming out of the wooden support falling and striking against the employees face causing a cut in the right superciliary,October,Thursday,2
Country_01,Local_03,Mining,Male,Employee,Others,At times when the mill operator proceeded to remove the vitaulic flange connecting the suction pipe to the pump housing B with the intention of desanding the system when removing the flange the mineral pulp comes out under pressure and impacts on the face and wrist of his left hand generating the lesion described At the time of the accident both the secondary mill No  and the pumps A and B were blocked for maintenance work and the mill operator used his safety glasses,July,Wednesday,4
Country_02,Local_12,Others,Female,Employee,Others,Upon entering the building the maid slipped and fell just behind the automatic door in front of the entry mat The floor was wet and slippery,May,Tuesday,2
