Country,Location,Industry_Sector,Potential_Accident_Level,Gender,Employee_Type,Critical_Risk,Description,Month,Weekday
Country_01,Local_03,Mining,4,Male,Third Party,Others,preparing rice lunch day moving pot keg weight including content evacuate residual water cooking rice positioning pot jab tilt backwards spilling hot water cook leg cook immediately event applies first aid pouring cold water area injury go medical post evaluation,January,Saturday
Country_02,Local_05,Metals,1,Male,Employee,Liquid Metal,collaborator report working location sulcus n realized cyclone duct obstructed opened door try unclog material detached projected towards employee causing small burn right heel,February,Monday
Country_01,Local_01,Mining,5,Male,Third Party,Electrical installation,moment operator miss mob miss tried energize equipment proceed installation split set intersection remove lock opening electric board lifting thermomagnetic key make phase ground phase contact panel shell producing flash reach operator causing injury described,February,Tuesday
Country_02,Local_05,Metals,3,Male,Employee,Confined space,due accumulation well conveyor trailer filter employee performed cleaning shutter using air lance surprised fall product door passing neck collar aramid jacket causing burn neck shoulder,February,Thursday
Country_02,Local_05,Metals,4,Male,Employee,Liquid Metal,employee working thermal shock caused splash zinc direction employee despite using indicated pie hit small spatter passed facial hood small burn face region,February,Thursday
Country_01,Local_04,Mining,4,Male,Third Party,Others, level circumstance worker company performing task diamond drilling assistant name sonata injured name ton preparing increase perforation pipe located scaffolding name sonata lift one end tube support pulley equipment frame end working scaffolding moment name ton lift end pipe scaffolding position frame upper part pipe come pulley falling striking right hand worker bolt lateral part frame causing injury described,February,Saturday
Country_01,Local_06,Metals,2,Female,Third Party,Others,due overheating bar row cell spark produced projected manages reach chief guard corridor producing first degree burn neck,February,Sunday
Country_01,Local_06,Metals,2,Male,Employee,Others,auxiliary wheel cathode crane miss changed area bearing heated hit hammer chisel one end bearing track detachment bearing piece occurred impacting thigh right leg producing cut ambulance called transferred clinic,February,Monday
Country_01,Local_06,Metals,3,Male,Employee,Others,worker name making disconnection power cable gate intersection lo location action street location order remove circumstance name worker company organization removing rope tied body gate yield fall pulling warning post hit helmet standing side,February,Sunday
Country_01,Local_06,Metals,2,Male,Third Party,Others, operator name open container subsequent loading silver concentrate opened first gate afterwards try open second door product opening latter first one open impact handle safety lens generates injury left cheekbone face operator,February,Thursday
Country_01,Local_03,Mining,4,Male,Third Party,Others,location chamber operator assistant removed drilling bar drilling machine weight approve keg holding top stroke assisted jib move horizontally operator jib bottom slide moving top drill bar causing assistant bar enforce assistant hand bar piston equipment,February,Tuesday
Country_01,Local_03,Mining,4,Male,Third Party,Others,aligning right bracket tower n releasing tension applied triform pushing lever towards tension release point return mechanical effect overcoming resistance lineman operator reshaping hand assistant beating assistant frontal region,February,Wednesday
Country_02,Local_02,Mining,2,Male,Third Party (Remote),Others,loosening miss miss miss truck steering cylinder bolt using power cable socket force exerted favor equipment bolt suddenly retired employee hit hand structure equipment causing injury,February,Monday
Country_01,Local_06,Metals,2,Male,Third Party,Others,operator miss miss miss section unlocking sheet zinc stuck enter slide stacking table requires support name name name flare help hold sheet place entry chute slide name moment releasing blade tilted brushed name name name flare left leg name collaborator went nearby eyewash cleaning immediately medical center name,February,Sunday
Country_01,Local_06,Metals,2,Male,Employee,Manual Tools,operator willing manually displace zinc sheet adhered aluminum cathode moment blade detached blade released cathode bending grazing collaborator right hand producing small cut knuckle finger worker made use glove leather worker transferred medical unit first aid,February,Monday
Country_01,Local_01,Mining,1,Male,Employee,Others,end lunch enabled place side winch control room get short walk slip sits floor making contact left knee taking importance rest guard guard finished go safety communicates fact reason derived name car attention,February,Saturday
Country_01,Local_03,Mining,3,Male,Third Party,Others,end rock break intersection ramp opening access ventilation chimney master loader identifies rock mesh proceeding unload end decides verify still remains positioning line fire time fragment rock fall go cicada mesh impacting lens helmet causing injury,February,Monday
Country_01,Local_01,Mining,4,Male,Employee,Others,worker carried work level stop placed metal mesh basket soil half organization issue mesh fall hit back right hand,February,Tuesday
Country_02,Local_07,Mining,3,Male,Employee,Others,using grief wrench unscrew rod probe key came move pressing employee finger probe,February,Tuesday
Country_01,Local_03,Mining,2,Male,Employee,Others,plant operator semi kneeling lifting lid gate keg distributor box secondary mill right knee slip due presence debris spilled platform floor grating gave extra effort left leg generating muscle contracture,February,Wednesday
Country_01,Local_03,Mining,2,Male,Employee,Others,level access time engineer trainee name amino entered verify amount split set placed organization issue miss support holding notebook pen left hand inspecting roof work lost balance stepping rock holding right hand rock floor causing injury worker time accident wore glove use made difficult take note,February,Friday
Country_01,Local_01,Mining,4,Male,Third Party,Others,worker name range working name refill stop level unloading metal mesh basket operator name name refill embedded safety boot reacting immediately worker removing limb force managing release foot producing wound right foot,February,Sunday
Country_01,Local_04,Mining,5,Male,Third Party,Others,approximately p miss miss circumstance organization punched miss v miss miss miss miss miss bob finishing organization bunch first minaret assistant alpha miss name ice asks operator minaret miss name holy move minaret access finding cockpit minaret operator launcher team miss name asks come miss team started noticed miss name injured imprisoned team height left rear rim organization till organization organization organization miss,February,Saturday
Country_02,Local_05,Metals,2,Male,Employee,Others,employee clearing pipe tapped right thumb flange causing little trauma,February,Monday
Country_02,Local_05,Metals,3,Male,Third Party (Remote),Pressed,replacing telescopic expansion joint miss pe pipe storm drainage pumping system report piece involuntarily moved positioned holder pressing finger holder causing wound right chemo,February,Thursday
Country_01,Local_01,Mining,4,Male,Third Party,Others,withdrawal miss bar conductive bar keg length diameter equipment perforation part two worker one positioned low part tie bar injured one position upper part hold bar positioning bar platform lose control bar moving finger right hand pulley frame time accident worker wearing safety glove drill rig blocked,February,Monday
Country_02,Local_07,Mining,5,Male,Employee,Others,starting activity removing coil electric cable warehouse help forklift truck operator notice beehive due movement coil bee excited realizing fact operator turned equipment left area people passing stung,February,Wednesday
Country_02,Local_07,Mining,5,Female,Third Party,Others,starting activity removing coil electric cable warehouse help forklift truck operator notice beehive due movement coil bee excited realizing fact operator turned equipment left area people passing stung,February,Wednesday
Country_01,Local_01,Mining,4,Male,Employee,Others,use inspection miss mob miss check list equipment operator equipment find behind seat plastic bottle filled liquid apparently mineral water without label labeling take bottle take small sip liquid expelling immediately noticing water immediately proceeds wash enough water transferred medical center attention liquid contact product equipment machinery low toxicity,February,Wednesday
Country_02,Local_02,Mining,4,Male,Employee,Others,maintenance flight pump rotor oil pressure lubrication chamber caused chamber cover projected towards employee face striking superficially forehead causing injury,February,Monday
Country_01,Local_06,Metals,4,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,approve leakage sulfur dioxide section due water seal blowing due overpressure acid plant moment collaborator organization organization company organization organization sap work near impacted area evacuated medical center care returned usual work,February,Friday
Country_01,Local_01,Mining,3,Male,Third Party,Others,performing cutting mesh protruding gable work assistant loader positioned floor using portable ladder held base master loader time loader assistant loses balance falling held mesh hand hanging floor causing injury,February,Saturday
Country_02,Local_08,Metals,3,Male,Employee,Pressed,operator center debag performing maintenance transporting hydraulic cylinder help another operator official unbalanced coming cylinder carried press finger left thumb pillar support oven specified figure,March,Wednesday
Country_01,Local_06,Metals,3,Male,Employee,Blocking and isolation of energies,start neutral leaching process employee name sonata proceeds open air valve tank airlift circumstance process solution return chimney solution coming contact arm right foot,March,Wednesday
Country_01,Local_03,Mining,3,Male,Third Party,Others,time two assistant carrying bag cement weighing keg lamp loader suspended floor left foot one assistant slid hit edge baton,March,Thursday
Country_01,Local_06,Metals,3,Male,Employee,Manual Tools,operator cleaned spatula spear one window boiler time force action hit window frame causing injury little finger left hand operator pep boiler cleaning,March,Friday
Country_01,Local_03,Mining,4,Male,Employee,Others,locomotive operated organization organization n peru personnel directed wagon loaded ore organization pa waste bin next waste bin patrol car go back wagon moment passed change track left rear wheel patrol car leaf rail advancing locomotive leaving patrol car tilted ahead assistant motorist traveled alone patrol car remained inside structure suffered minor bruise,March,Saturday
Country_01,Local_04,Mining,3,Male,Employee,Others,pit level radial drilling performed negative hole simba organization c miss h miss miss miss equipment assistant equipment operator made change drill bit metal bar hammer released coupling rotation unit abruptly withdrawing hand hit back right hand team structure miss time accident team paid miss,March,Sunday
Country_01,Local_03,Mining,4,Male,Third Party (Remote),Others,time worker another partner preparing move oil cylinder gallon mobile platform mounted rail platform weighing approximately keg derailed leaf rail order place platform rail worker lift platform instant right hand one trapped rail platform structure held metallic tube protruding platform accident caused bruised wound index finger right hand fracture time accident wore leather type safety glove,March,Sunday
Country_01,Local_06,Metals,4,Male,Third Party,Suspended Loads,operator feeding bag big bag containing scrap miss n sheet lifting loaded bag released hook hoist making abrupt contact liquid zinc furnace generating explosion causing operator hit liquid zinc,March,Wednesday
Country_01,Local_03,Mining,5,Male,Third Party,Others,circumstance two worker company organization commit made loading explosive using equipment front work sustained right superior part crown piece rock approve keg impacting basket back helper basket suspended height moment later block rock detached wall gable approve keg impact team part block injures operator team standing ground equipment cabin protection cop fop time accident worker used helmet safety boot suffered minor scoria injury,March,Friday
Country_01,Local_03,Mining,5,Male,Third Party,Others,circumstance two worker company organization commit loading explosive using equipment front work sustained right superior part crown piece rock approve keg impacting basket back helper basket suspended height moment later block rock detached wall gable approve keg impact team part block injures operator team standing ground equipment cabin protection cop fop time accident worker used helmet safety boot suffered minor scoria injury,March,Friday
Country_01,Local_03,Mining,4,Male,Third Party (Remote),Others,mechanic assistant throwing wooden block support stabilizer organization crane truck ground descending truck access ladder arriving last step jump towards ground height treading edge one wooden block cause injury left ankle,March,Sunday
Country_02,Local_07,Mining,4,Male,Employee,Others,manually moving steel cabinet disposal help another employee operator finger pressed wall cabinet causing injury,March,Saturday
Country_01,Local_06,Metals,3,Male,Third Party (Remote),Chemical substances,discharge waste operator proceeds remove bag hose rolled circumstance one end hose move direction face driver projecting liquid contained impacting ear part face,March,Monday
Country_01,Local_03,Mining,3,Male,Employee,Others,circumstance organization tor miss going level level noticed hydraulic pump inspection cover xu xu keg approve fall stopped equipment activates cat climb upper part equipment moment accommodated cover slide middle finger causing injury,March,Sunday
Country_01,Local_04,Mining,2,Male,Third Party,Others,installing ripper pin tractor miss miss miss ripper support arm slide pressing second third finger right hand base ripper causing injury described,March,Wednesday
Country_02,Local_05,Metals,2,Male,Employee,Pressed,employee report lowered cloth purification arranged cart would grab pipe pressing left hand cloth cart,March,Thursday
Country_01,Local_01,Mining,2,Male,Third Party,Others,end loading explosive work front master loader enters verify mooring blasting accessory retiring top hears sound fragment rock rolling support mesh directs gaze towards crown vertical form point small fragment rock pass opening mesh sustaining impact forehead time event collaborator used helmet safety lens front support top sacrifice mesh opening support mesh x ,March,Thursday
Country_02,Local_08,Metals,2,Male,Employee,Manual Tools,employee performing adjustment tightening operation cutter blade worked neglected key slip causing blade equipment hit causing blunt cut right forearm,March,Wednesday
Country_01,Local_04,Mining,4,Male,Third Party,Others,approximately circumstance name mess name truck crane name name name name culminated name shipment block metal p name ten approximate weight keg name name name name rigger climb onto name truck remove name sling p name yes foot name r name stretcher supported name metal p name ten moment name central part name stretcher broken result name two foot imprisoned producing name injury,March,Friday
Country_01,Local_01,Mining,3,Male,Employee,Others,placement last support mesh cloth work moment ground injured collaborator reached mesh operator scissor bolter positioned basket pressing mesh one protruding end mesh cross leather glove causing injury right hand,March,Saturday
Country_02,Local_05,Metals,4,Male,Employee,Chemical substances,employee checked acid leakage shipping area hit splash solution right,March,Monday
Country_02,Local_05,Metals,4,Male,Employee,Fall prevention (same level),employee clearing liquid zinc pump oven stepped platform became unbalanced twist left foot,March,Friday
Country_02,Local_05,Metals,4,Male,Employee,Chemical substances,employee transiting toward cadmium factory near tank copper sulfate acid solution spilled direction reaching leg causing minor burn,March,Friday
Country_01,Local_03,Mining,2,Male,Employee,Others,carrying activity cutting mesh work front assistant position foot one end mesh leaving end free moment assistant bend make cut shear end free mesh return inertia hitting partner safety lens,March,Tuesday
Country_01,Local_01,Mining,4,Male,Third Party,Others,refurbishment work hope pipe diameter two worker worker secured pipe chain standing basket raised height ground pipe slipped impacted arm right causing injury radius right arm,March,Tuesday
Country_01,Local_01,Mining,4,Male,Third Party,Others,circumstance dump truck laden ore entered unload backwards curve upper part via location location quit operator notice unevenness road approximately one meter approaching edge overturning truck right side operator traveled alone truck made use safety belt helmet glass time accident unloading process two square accident site test operator negative,March,Friday
Country_01,Local_04,Mining,4,Male,Third Party,Others,approximately level name x circumstance worker company organization performed anchorage central pin anchoring drilling machine organization cantina organization red organization organization bob name assistant name christian injured made adjustment nut central bolt stepson key simultaneously name control panel made movement rotation unit positioning clamp pin moment frame slid pressing thumb assistant left hand stepson key causing described injury due lack securing frame fixing bolt,March,Wednesday
Country_01,Local_03,Mining,3,Male,Employee,Others,carried mechanized support organization issue heavy equipment operator pick water supply hose towards drum equipment heading towards cabin organization issue way piece rock high approve displaces sliding right foot causing injury described,March,Wednesday
Country_01,Local_06,Metals,3,Male,Employee,Others,approximately h supervising line clamping miss om name name trio returning thickener hit nose metal chute operation,March,Thursday
Country_02,Local_08,Metals,3,Male,Third Party (Remote),Pressed,employee performing truck unloading operation iron bundle pressed right finger injured left arm,March,Thursday
Country_01,Local_03,Mining,3,Male,Third Party,Others,loading two blown hole previous blasting use telescopic ladder master loader pull ladder detaching upper support point height fragment rock x x go projected right end ladder hitting master loader cheekbone upper lip producing lesion described master shipper used safety glass,April,Friday
Country_01,Local_01,Mining,5,Male,Third Party,Others,plant stop scheduled maintenance almost end change fitting miss p pipe diameter resident enters work zone bottom supervise work moment four worker anchored harness upper part manipulating accessory tie flange miss p pipe pic diameter suddenly pic pipe come support pipe fine material tailing weight fall height meter floor bounce imprisons resident engineer injured worker lower part line fire,April,Sunday
Country_01,Local_01,Mining,3,Male,Employee,Others,parking equipment dumper maintenance workshop mechanic asks operator back equipment washing operator start reverse gear cab door fully open upon reaching washing area meter behind brake cabin door close untimely hit face causing minor injury area mechanic floor level safe place,April,Saturday
Country_01,Local_01,Mining,5,Male,Third Party (Remote),Others,circumstance two worker organization branch company putty work inside conditioning tank meter deep covered platform metal grating grating upper part two employee organization company carried maneuver transfer pump help manual tick worked hooked beam organization dragging pump metal grating grating suddenly pump hooked metal grate grating trying release metal grid grating keg x fall inside tank hit diagonal channel inside tank impact right arm one worker rub helmet second worker crouching area bomb moved marked tape lookout,April,Friday
Country_03,Local_10,Others,2,Male,Third Party,Others,accessing location location location area order open chop general moving ahead team order open access organization odometer came across area steep slope gravel presence certain place access employee slipped coming become unbalanced moment machete left hand came slip right leg knee causing cut,March,Thursday
Country_03,Local_10,Others,4,Male,Third Party,Poll,performing sleeve removal maneuver hole meter deep general name name pressed one side locking nut rod together jack hold entire weight rod maneuver locking procedure effective weight rod secured steel wire rope probe winch moment driller name released brake winch inefficacy locking done one side chestnut without aid monkey caused sliding rod auxiliary prepared manual unlocking rod holding faucet key firmly probe tower composition shifted stem slid hand shifted downward causing left hand strike base probe tower structure causing cut nth nth miss giro name call employee taken hospital went medical care wound sutured stitch removed name activity,March,Thursday
Country_03,Local_10,Others,1,Male,Third Party,Others,trip vehicle end work collaborator name gainer stepped object could identify thus coming pierce sole boot causing small hole sole left foot collaborator perforation possibly due stump wood since area covered collaborator pasture grazed recently near residence,March,Tuesday
Country_01,Local_03,Mining,2,Male,Third Party,Others,workshop level box two mechanic manipulated steel plate x keg place gutter workshop able remove scaler plate slide restricts right ring finger gable plate causing injury collaborator used glove time accident,March,Thursday
Country_02,Local_09,Metals,4,Male,Employee,Manual Tools,open suction valve miss miss miss miss miss acid pump cable pump come loose pressing nth finger employee left hand tubing causing fracture distal phalanx photo,April,Monday
Country_01,Local_06,Metals,3,Male,Third Party,Fall prevention (same level),worker carried disassembly scaffolding body thickener miss dismantling base scaffold located approximately one meter high floor sump rivet anchor support platform broken causing fall worker impacting right knee support anchored one horizontal scaffolding structure,April,Tuesday
Country_02,Local_05,Metals,3,Male,Third Party,Pressed,employee report handling air conditioning pressed right causing contusion,April,Tuesday
Country_01,Local_03,Mining,2,Male,Third Party,Others,parking van next cluster wooden sleeper board driver descending stepped board iron nail protruded long identify board submerged puddle water accident caused minor wound sole left foot time accident worker wearing safety boot,April,Thursday
Country_01,Local_03,Mining,4,Male,Employee,Others,maintenance locomotive n workshop level assistant pulling locomotive chair backwards stumble ventilation grille falling platform locomotive floor workshop height generating injury time accident assistant used safety helmet chin strap,April,Friday
Country_01,Local_01,Mining,4,Male,Third Party,Others,organization machine lifted weight floor level accidently proceeds pull organization machine key ton maximum cap lay floor advancing horizontally anchor bolt pig tail type diameter key hooked break transversely pulling force key projected onto injured person left shoulder causing injury injured meter key time incident assistant meter away order cleaning,April,Monday
Country_01,Local_01,Mining,4,Male,Employee,Others,positioning scissor bolter n location location e meter top operator assistant verify ventilation sleeve obstruct support left gable decide section sleeve direct towards main corridor injured person decides climb roof equipment cabin surface square meter carry installation sectioned sleeve without noticing step empty fall equipment height meter time accident operator scissor bolter platform equipment positioned blocked perform maintenance assistant wearing safety helmet chin strap,April,Monday
Country_02,Local_08,Metals,3,Male,Employee,Pressurized Systems,cleaning vertical pipe using hydrogen equipment high pressure hose hose returned due obstruction pipe residue reaching operator actuating equipment pedal,April,Thursday
Country_01,Local_04,Mining,2,Male,Third Party,Others,bypass level worker company name met name operator organization later bolting team name assistant retired installing support helical bolt pink team mesh overhanging gable teacher tell assistant cut mesh instant assistant finished cutting mesh suddenly rise hitting face causing injury described,April,Thursday
Country_01,Local_04,Mining,3,Male,Third Party,Others, approximately lung miss master loader company organization met carrying loading activity front miss r miss level moment tying crown trying reach panel left side loses balance movement ladder fall floor resulting accident,April,Saturday
Country_01,Local_03,Mining,3,Male,Third Party,Others,moment worker mechanic workshop maintenance wire mining lamp hooked drill hole keg work table workshop fell impacted left foot causing minor bruise time accident collaborator used safety boot steel toecap,April,Saturday
Country_01,Local_03,Mining,2,Male,Employee,Others,general store two store attendant removed compartment rubber mesh material classification xu xu keg weight lifted approve position edge another mesh placed floor litter slightly imprisons index finger right hand one assistant causing minor cutting wound time accident injured worker used leather glove,April,Friday
Country_02,Local_05,Metals,4,Male,Employee,Cut,employee report attempting manually ingot organization rotary table miss ingot hit left hand angle structure ingot pressing finger ingot angle,April,Sunday
Country_01,Local_03,Mining,3,Male,Third Party,Others,moving roll electro miss welded mesh keg weight place hopper truck two operator pull roll mesh bring hopper truck time imprisonment left hand one operator mesh body hopper generating described injury time accident operator wearing miss vac miss type safety glove,April,Monday
Country_02,Local_02,Mining,5,Male,Employee,Others,performing cleaning organization block f level operator surprised rock block displacement side gallery reaching right leg causing superficial injury,April,Thursday
Country_01,Local_01,Mining,2,Male,Third Party,Others,workshop end welding work small bolter equipment welder proceeds clean inside metal stool impregnated thinner flammable liquid help hammer screwdriver proceeds remove oxide hitting screwdriver hammer produce flash internal base stool produce slight burn right hand welder time accident welder us glove left hand,April,Friday
Country_01,Local_04,Mining,3,Male,Employee,Others, approximately obi ex name say organization tor mine service instant picking cat position one truck crane plate raising right hand lower part cat indexed index finger left hand body cylinder valve cat valve turntable upper part,April,Saturday
Country_02,Local_05,Metals,4,Male,Third Party,Pressurized Systems / Chemical Substances,employee report placed air lance tank opened manual air valve projection acid solution heated toward reaching front left thigh,April,Friday
Country_02,Local_05,Metals,2,Female,Third Party,Cut,injured woman performed cleaning cleaning sink collection room pierced finger fragment glass,April,Tuesday
Country_02,Local_05,Metals,3,Male,Third Party (Remote),Chemical substances,discharging sodium hydroxide disconnecting hose employee placed next demineralization suction pump turned receiving projection pump sensor causing degree burn,April,Thursday
Country_01,Local_04,Mining,4,Male,Third Party,Others,name operator concrete throwing team alpha n shooting miss x work obi applying realizes additive come mix directing lift cover passage valve miss x miss inch thickness approximately keg verifying valve open release lid hit third finger left hand base causing injury,April,Friday
Country_02,Local_05,Metals,4,Male,Employee,Pressed,employee performed return load entrance debarking machine trying align cathode pressed right hand,April,Saturday
Country_01,Local_01,Mining,2,Male,Employee,Others,injured worker begin work presenting support mesh cloth floor making initial cut mesh section x poncho originating remaining mesh wick tip prong protruding trying make second mesh cut positioned edge remaining mesh wick prevent curling point try take shear remove right foot mesh causing mesh roll embed wick tip pole left boot causing injury time accident worker wearing safety boot,April,Saturday
Country_01,Local_03,Mining,4,Male,Third Party,Others,dah chamber company organization plain located level location sorry ramp worker assistant driller dismantling fifth drill rod meter steel weight keg using stepson key moment operator operates rotation unit drill rod rotates pressing left hand worker base rod holder causing injury left hand time accident drilling assistant used rubber glove,April,Saturday
Country_01,Local_04,Mining,4,Male,Third Party,Others,carrying maneuver increase organization pipe line driller name indicates assistant name ton introduce inner pipe drill assistant introduces inner pipe place hand box pipe driller without noticing move pipe assistant hand open chuck rotation unit dropping pipe imprisoning injured person right hand causing injury,May,Sunday
Country_02,Local_05,Metals,4,Female,Third Party (Remote),Chemical substances,employee report climbing access ladder operating room organization relation surprised projection sulfuric acid,May,Monday
Country_03,Local_10,Others,1,Male,Third Party,Manual Tools,performing geological mapping activity necessary hammer rock analysis moment clerk held pointed fragment slipped third right hand causing superficial cut,May,Wednesday
Country_01,Local_04,Mining,4,Male,Third Party,Others, p approximately ex name helper miss mob miss removed drill rod drilling hole instant break chain subjection table drilling machine sliding achieving rubbing index finger left hand causing injury,May,Tuesday
Country_01,Local_04,Mining,3,Male,Employee,Others, approximately ex name name name name tor organization top observes polyethylene pipe thrown road proceeding lower equipment found lifting pipe hook right gable piece rock suspended electro name welded mesh impacting operator right eyebrow causing injury,May,Wednesday
Country_02,Local_05,Metals,3,Female,Third Party (Remote),Chemical substances,conducting inspection evaluate activity carried pump house location relation steam station hit sulfuric acid spill line located pump house thermal recovery boiler,May,Wednesday
Country_02,Local_05,Metals,3,Male,Third Party (Remote),Chemical substances,conducting inspection evaluate activity carried pump house location relation steam station struck sulfuric acid spill line located house thermal recovery boiler pump,May,Wednesday
Country_02,Local_05,Metals,3,Male,Third Party,Manual Tools,employee sanding piece miss electrolysis end operation protective cap disk spun back left hand,May,Thursday
Country_02,Local_08,Metals,2,Male,Third Party (Remote),Manual Tools,die cutting feeder miss blanket weld seam store extruder stylet blade came direction left forearm resulting blunt short injury,May,Thursday
Country_01,Local_03,Mining,3,Male,Third Party,Others,welding workshop level ex tunnel quinol moment assistant raised wooden strut long x diameter keg weight place work table height tread another wooden strut placed floor losing balance falling level lying laterally concrete wall causing bruise left shoulder,May,Wednesday
Country_01,Local_06,Metals,2,Male,Third Party (Remote),Chemical substances,sundae collaborator go medical center saying accident day ago performed internal maintenance work heat exchanger defined confined space risk burning acid leaving confined space employee remove protective glove without passed emergency shower moment skin contact occurs sulfate generating lesion,May,Thursday
Country_01,Local_01,Mining,4,Male,Third Party,Others,moment truck transport personnel company miss visa plate miss g miss moved miss v miss surface missing reach mouth miss v gearbox respond driver stop truck inspect along maintenance personnel time traveling truck raise cabin manually put change first continue trip culminated task driver support maintenance personnel lower cabin due weight fall hitting driver cabin hopper truck time accident employee wearing safety helmet chin strap,May,Wednesday
Country_01,Local_01,Mining,4,Male,Third Party,Others,completing welding work backhoe bucket made hour used glass moon welder feel slight discomfort eye transferred medical service evaluation accident welder used facial mask welding,May,Saturday
Country_01,Local_11,Others,2,Male,Employee,Others,employee organization lo organization visited facility level waiting personnel cage go level drop water fall ceiling height meter approximately product slight filtration crown sustained drop enters right eye causing discomfort right eye according employee time accident lens removed clean happened visit interior mine,May,Tuesday
Country_01,Local_03,Mining,4,Male,Third Party (Remote),Others,location location evener sub station level assembling metal structure approximately keg support lifting system three operator try accommodate structure anchor base moment miss lie structure slide direction injured worker right hand producing slight right hand accretion head bolt base structure causing injury time accident operator made use safety glove,May,Thursday
Country_02,Local_05,Metals,3,Male,Employee,Others,employee performing carbon steel pipe marking activity helmet struck tube causing scalp wound due impact helmet sheepskin,May,Wednesday
Country_02,Local_08,Metals,3,Male,Employee,Blocking and isolation of energies,maintenance miss x miss miss miss miss b pump projection silicate pulp reaching right leg employee,May,Sunday
Country_01,Local_06,Metals,1,Male,Third Party,Fall prevention (same level),circumstance collaborator name vent performed washing tablas pot washing area suffers feeling dizziness faintness causing fall level producing slight concussion head,May,Friday
Country_01,Local_03,Mining,4,Male,Third Party,Others,transit fuel tanker level level north ramp passing level operator feel right rear tire skid operator performs defensive maneuver truck hit left gable causing injury described time accident pilot pilot wearing safety belt safety glass helmet,May,Sunday
Country_03,Local_10,Others,4,Male,Third Party,Fall,field trip return work lunch employee organization field company slipped loose stone place moment intention balancing tried hold onto tree falling right arm causing fracture distal end radius activity paralyzed employee referred location location cat underwent medical care,May,Tuesday
Country_01,Local_04,Mining,3,Male,Employee,Others, approximately workshop mechanical maintenance surface name organization e assistant name danio made cut link shorten distance chain hold injection hose resin instant saw blade leaf cutting position affecting second finger left hand causing injury,May,Thursday
Country_01,Local_04,Mining,3,Male,Employee,Others,test soft starter engine belt collaborator name move around site approximately fall trench electric cable deep found partially discovered,May,Wednesday
Country_02,Local_02,Mining,5,Male,Employee,Others,checking voltage power outlet plug socket make sure connection correct small electrical arc power cord causing slight burn right hand wrist protection system acted immediately,May,Friday
Country_03,Local_10,Others,1,Male,Third Party,Bees,ground team coordinated name assistant name name name la p prong opening access collect soil sample name liar came across tried divert meter right place moment diversion came across house front giving time action since thug already agitated name name time sting head another behind neck sting face since allergy test verified allergic reaction washed affected part returned normal activity,May,Wednesday
